Allow Edit Ranges	允许用户编辑区域	excel
Analyze Data	分析数据；根据数据提供问题和见解	excel
Recommended PivotTables	推荐的数据透视表	excel
Selection Pane	选择窗格	powerpoint
Slide Show	幻灯片放映	powerpoint
Outline View	大纲视图	powerpoint
Slide Sorter	幻灯片浏览	powerpoint
Move	移动	powerpoint
Bullets	项目符号	powerpoint
Draw	绘图	powerpoint
Animations	动画	powerpoint
Recording	录制	powerpoint
Slide Show Help	幻灯片放映帮助	powerpoint
Presenter View	演示者视图	powerpoint
Use Presenter View	使用演示者视图	powerpoint
Notes	备注	powerpoint
Blank Presentation	空白演示文稿	powerpoint
Reading View	阅读视图	powerpoint
Slide Master	幻灯片母版	powerpoint
Pictures	图片	powerpoint
Slide Size	幻灯片大小	powerpoint
Allow text to be dragged and dropped	允许拖放文本	powerpoint
Screenshot	屏幕截图	powerpoint
Maximum number of undos	最大撤消数	powerpoint
Use smart cut and paste	使用智能剪切和粘贴	powerpoint
Show Paste Options button when content is pasted	粘贴内容时显示“粘贴选项”按钮	powerpoint
Paste Options	粘贴选项	powerpoint
Discard editing data	放弃编辑数据	powerpoint
Do not compress images in file	不要压缩文件中的图像	powerpoint
Default resolution	默认分辨率	powerpoint
High fidelity	高保真	powerpoint
Recent Documents	最近使用的文档	powerpoint
Show vertical ruler	显示垂直标尺	powerpoint
Show	显示	powerpoint
Ruler	标尺	powerpoint
Disable Slide Show hardware graphics acceleration	禁用幻灯片放映硬件图形加速	powerpoint
Automatically extend display when presenting on a laptop or tablet	在笔记本电脑或平板电脑上演示时自动扩展显示	powerpoint
Show presence flags for selected items	显示所选项目的状态标志	powerpoint
Open all documents using this view	使用此视图打开所有文档	powerpoint
Show menu on right mouse click	单击鼠标右键时显示菜单	powerpoint
Show popup toolbar	显示弹出工具栏	powerpoint
End with black slide	以黑色幻灯片结尾	powerpoint
Print in background	在后台打印	powerpoint
Print TrueType fonts as graphics	将 TrueType 字体打印为图形	powerpoint
High quality	高质量	powerpoint
